cases.0.samples.0.portions.0.analytes.0.aliquots.0.aliquot_id	data_type	cases.0.samples.0.sample_type	file_name	cases.0.samples.0.submitter_id	cases.0.samples.0.tissue_type	cases.0.samples.0.tumor_descriptor	file_id	data_category	cases.0.submitter_id	cases.0.samples.0.sample_id	cases.0.case_id	id	cases.0.samples.0.portions.0.analytes.0.aliquots.0.submitter_id
a63583ca-0ef2-4417-b435-5f3a6951d0c2	Gene Expression Quantification	Primary Tumor	b033c85a-2395-4ced-a84d-ac1fbce674bf.htseq.counts.gz	TCGA-A1-A0SK-01A			0a2fdcec-904b-4015-91bb-71e689af12a1	Transcriptome Profiling	TCGA-A1-A0SK	dbd8fda0-bdf2-40f0-80b6-daef5ebf9c97	a5b44d66-c162-46b5-9df2-86305f0385c5	0a2fdcec-904b-4015-91bb-71e689af12a1	TCGA-A1-A0SK-01A-12R-A084-07
b1dbf4a7-16f8-49bc-a89f-aeac729e3c3c	Gene Expression Quantification	Primary Tumor	3c8923de-0d68-4137-a5d9-657a77cac893.htseq.counts.gz	TCGA-A2-A0EP-01A			47bd5d86-a4a5-40d6-bd8e-43f043694b5c	Transcriptome Profiling	TCGA-A2-A0EP	153d5e35-20a4-40f8-901a-d7208fa2d3d8	670f5022-5066-48f1-8472-5670129a1e0f	47bd5d86-a4a5-40d6-bd8e-43f043694b5c	TCGA-A2-A0EP-01A-52R-A22U-07
15bad71d-3031-413b-9e8d-6426ae5dfbea	Gene Expression Quantification	Primary Tumor	02939ecf-77d0-49fc-a04b-8fd5334b44da.htseq.counts.gz	TCGA-A1-A0SD-01A			3230e77c-6340-4620-8555-dd66209f1eba	Transcriptome Profiling	TCGA-A1-A0SD	81f193d9-ad19-43c2-b89f-54003a8d133e	c462e422-eb8d-4daf-9897-2a9c6cbd783a	3230e77c-6340-4620-8555-dd66209f1eba	TCGA-A1-A0SD-01A-11R-A115-07
f091d050-4847-4d4d-b94c-1efacecdef6b	Gene Expression Quantification	Primary Tumor	555de98a-5925-41d0-8095-7ae42c480861.htseq.counts.gz	TCGA-A1-A0SP-01A			6fe7b6c0-38be-4b13-98c5-074b8fee6f1c	Transcriptome Profiling	TCGA-A1-A0SP	c0c04ba3-7fdf-47f3-8750-a487639a76df	a9bb8159-32f0-454c-a946-b3286a52b9d5	6fe7b6c0-38be-4b13-98c5-074b8fee6f1c	TCGA-A1-A0SP-01A-11R-A084-07
2d5351f1-e9d7-44a3-ae43-f595a0151516	Gene Expression Quantification	Solid Tissue Normal	2c6a02ee-c88a-4e23-8915-6976b95386e3.htseq.counts.gz	TCGA-A7-A0CE-11A			eed6ce81-2d05-4e3c-bb74-a4601ba8c161	Transcriptome Profiling	TCGA-A7-A0CE	139c8065-f56a-45f6-bc7e-7841f85a31ae	9d95a65b-e41d-4f93-92d4-99dce29ff40d	eed6ce81-2d05-4e3c-bb74-a4601ba8c161	TCGA-A7-A0CE-11A-21R-A089-07
ddb62dc3-293b-4021-905a-83ae10aa0f8e	Gene Expression Quantification	Primary Tumor	7f08d0f0-7b1b-4ef0-a3ba-4bc12097a0bb.htseq.counts.gz	TCGA-A2-A04W-01A			0fc7aebe-343b-4572-bd5d-ad7d5f0c5816	Transcriptome Profiling	TCGA-A2-A04W	699d9e14-0968-4773-b077-17db941f5c38	00807dae-9f4a-4fd1-aac2-82eb11bf2afb	0fc7aebe-343b-4572-bd5d-ad7d5f0c5816	TCGA-A2-A04W-01A-31R-A115-07
5a269a43-59a4-4718-878e-1086a07b13ee	Gene Expression Quantification	Primary Tumor	eab58571-a6f1-4bc4-aa01-0df9c4beb79f.htseq.counts.gz	TCGA-AN-A0XN-01A			d6f3bd02-e0cb-45f5-bdd0-d39698d1461e	Transcriptome Profiling	TCGA-AN-A0XN	41dc8345-7968-42b2-af20-8501b9d2223d	4e3699da-4367-4a43-9d66-a117d3ad460d	d6f3bd02-e0cb-45f5-bdd0-d39698d1461e	TCGA-AN-A0XN-01A-21R-A109-07
01370d42-f75c-4532-9b9c-24ff7302b033	Gene Expression Quantification	Primary Tumor	15ea8c4e-2ee1-4aa4-89e5-6876e4b80381.htseq.counts.gz	TCGA-A2-A0D1-01A			861cae5a-bbf1-4738-8371-f1c99993c213	Transcriptome Profiling	TCGA-A2-A0D1	12ece355-f1d0-446c-84e9-0aed3e6d29f8	084c6aec-94f7-4090-8f3f-59fa9e89721a	861cae5a-bbf1-4738-8371-f1c99993c213	TCGA-A2-A0D1-01A-11R-A034-07
b77f4222-9000-4485-8728-8864780ebcb8	Gene Expression Quantification	Primary Tumor	a586e45b-1f76-4aac-9e12-a7302ebe4217.htseq.counts.gz	TCGA-AN-A0XS-01A			f967f8a2-9c61-4b83-b704-5801db2bb965	Transcriptome Profiling	TCGA-AN-A0XS	464c704d-fa2e-4ec1-b77c-4441422082eb	95e949d3-b1f3-46c6-9451-8fe92c99e4cf	f967f8a2-9c61-4b83-b704-5801db2bb965	TCGA-AN-A0XS-01A-22R-A109-07
b3ac6331-6c8f-4165-add7-482aadf7fa68	Gene Expression Quantification	Primary Tumor	b0ae2bb5-9b1b-47a3-abc7-76c02bf8a229.htseq.counts.gz	TCGA-A2-A0YF-01A			e47ded12-ac91-4443-981a-94832d0b3593	Transcriptome Profiling	TCGA-A2-A0YF	2b721ce6-b620-4216-9846-c82543880bb3	ae8c77fe-e6c8-44d5-8265-4a38c637bbef	e47ded12-ac91-4443-981a-94832d0b3593	TCGA-A2-A0YF-01A-21R-A109-07
e637db43-508a-4a37-92e4-eea96b35b65b	Gene Expression Quantification	Primary Tumor	1414d172-710a-4fb6-af82-f8b0c923b259.htseq.counts.gz	TCGA-A1-A0SM-01A			ac333fd4-b9ac-4861-b994-152c765068b3	Transcriptome Profiling	TCGA-A1-A0SM	289f5433-4834-401f-9361-efc8e883e630	784de7ac-8424-42eb-83d4-a1bebaa42b97	ac333fd4-b9ac-4861-b994-152c765068b3	TCGA-A1-A0SM-01A-11R-A084-07
a083b072-7c1e-4ed6-90cf-1e49d21df4cb	Gene Expression Quantification	Primary Tumor	57e8b21e-eeb7-4f8e-a8b3-b6016bd37c96.htseq.counts.gz	TCGA-A2-A0EQ-01A			bd11ea82-d346-449c-b63b-a9434062e9de	Transcriptome Profiling	TCGA-A2-A0EQ	63792ecf-4f55-4eb5-bfbc-78accb4f104a	2192c1db-4718-4254-ba42-3ae7f30ad5a8	bd11ea82-d346-449c-b63b-a9434062e9de	TCGA-A2-A0EQ-01A-11R-A034-07
cdada0b1-f90d-40bc-9257-6377987b7baa	Gene Expression Quantification	Primary Tumor	f02c6de4-67f9-465e-bbc1-3d48ae377313.htseq.counts.gz	TCGA-E9-A1N9-01A			bc03e189-ee0d-4fd7-b15c-aa66eb1e8bd3	Transcriptome Profiling	TCGA-E9-A1N9	3c2bed9f-2ab5-4623-b631-99e394d7723d	994ca1f5-ad10-44ec-aa21-71fc2940653b	bc03e189-ee0d-4fd7-b15c-aa66eb1e8bd3	TCGA-E9-A1N9-01A-11R-A14D-07
1a19e068-d213-41ef-aebb-104017a883cc	Gene Expression Quantification	Primary Tumor	698eba4b-b0f0-4923-9e43-d9707959c65f.htseq.counts.gz	TCGA-3C-AALK-01A			edebefbc-81da-41f4-ac86-d5f85a3f790c	Transcriptome Profiling	TCGA-3C-AALK	2a532346-0008-4af8-99bc-d709585da1d6	c31900a4-5dcd-4022-97ac-638e86e889e4	edebefbc-81da-41f4-ac86-d5f85a3f790c	TCGA-3C-AALK-01A-11R-A41B-07
7fdf1ebf-149a-43d5-bae7-6e01beb647dd	Gene Expression Quantification	Primary Tumor	5fa88a87-e100-4fc5-bc26-995ad8191c8f.htseq.counts.gz	TCGA-A1-A0SN-01A			3e1e0a0e-e72b-4c7c-b96f-714f0b89424b	Transcriptome Profiling	TCGA-A1-A0SN	62d2a36e-feb1-4084-8111-7ea38a4e3049	0dc337fa-da8b-42c4-b9a7-fb76d81c161f	3e1e0a0e-e72b-4c7c-b96f-714f0b89424b	TCGA-A1-A0SN-01A-11R-A144-07
dd8d3665-ec9d-45be-b7b9-a85dac3585e2	Gene Expression Quantification	Primary Tumor	0ca5cc29-f48e-4533-a732-877e7bd2e73a.htseq.counts.gz	TCGA-3C-AALI-01A			a703335c-54a6-43cb-bc75-f55f5a4db0f7	Transcriptome Profiling	TCGA-3C-AALI	0050d7c9-ece9-4b6c-8023-1ff2efcb3c9c	55262fcb-1b01-4480-b322-36570430c917	a703335c-54a6-43cb-bc75-f55f5a4db0f7	TCGA-3C-AALI-01A-11R-A41B-07
50f23d00-f6fd-4b3d-aed2-0705f7ae6a17	Gene Expression Quantification	Primary Tumor	e8f5bbce-2f4b-4e79-a746-c374ffc57037.htseq.counts.gz	TCGA-E9-A1NC-01A			bca7ce38-ff1f-45ee-a411-db99ed142984	Transcriptome Profiling	TCGA-E9-A1NC	cb5043e3-c1c1-4b06-9135-1aada484ba4b	e74aea7c-ca14-49df-b5cf-dacb839ac27a	bca7ce38-ff1f-45ee-a411-db99ed142984	TCGA-E9-A1NC-01A-21R-A26B-07
